Albuquerque,NM,USA,87101,35.0846,-106.652
Anaheim,CA,USA,92801,33.8478,-117.957
Arlington,TX,USA,76001,32.6291,-97.1547
Atlanta,GA,USA,30301,33.7486,-84.3884
Bakersfield,CA,USA,93301,35.3879,-119.024
Baldwin Park,CA,USA,91706,34.0966,-117.967
Baltimore,MD,USA,21201,39.2954,-76.6239
Bell Gardens,CA,USA,90201,33.9762,-118.168
Bellflower,CA,USA,90706,33.888,-118.129
Boston,MA,USA,02108,42.3573,-71.0645
Brooklyn,NY,USA,11201,40.6946,-73.9906
Brownsville,TX,USA,78520,25.9676,-97.5475
Charlotte,NC,USA,28201,35.2287,-80.8458
Chicago,IL,USA,60290,41.85,-87.65
Chino Hills,CA,USA,91709,33.9474,-117.729
Chula Vista,CA,USA,91909,32.6403,-117.083
Columbus,OH,USA,43085,40.1005,-83.0139
Corona,NY,USA,11368,40.7523,-73.8535
Cypress,TX,USA,77410,29.9695,-95.6976
Dallas,TX,USA,75201,32.7877,-96.7999
Denver,CO,USA,80201,39.7393,-104.984
Detroit,MI,USA,48201,42.3462,-83.0606
El Paso,TX,USA,79901,31.763,-106.486
Elmhurst,NY,USA,11373,40.7383,-73.8779
Flushing,NY,USA,11351,40.7553,-73.8268
Fontana,CA,USA,92331,34.06,-117.44
Fontana,CA,USA,92331,34.06,-117.44
Fresno,CA,USA,93650,36.8424,-119.803
Grand Prairie,TX,USA,75050,32.7773,-96.9892
Hawthorne,CA,USA,90250,33.9128,-118.346
Hayward,CA,USA,94540,37.6687,-122.08
Hesperia,CA,USA,92340,34.4264,-117.3
Honolulu,HI,USA,96801,21.3069,-157.858
Houston,TX,USA,77001,29.7634,-95.3634
Huntington Park,CA,USA,90255,33.9775,-118.213
Indianapolis,IN,USA,46201,39.7757,-86.1096
Jacksonville,FL,USA,32099,30.3383,-81.7706
Kansas City,MO,USA,64101,39.1041,-94.5997
Katy,TX,USA,77449,29.8325,-95.7324
La Puente,CA,USA,91744,34.0288,-117.933
Lakewood,NJ,USA,08701,40.0721,-74.205
Lancaster,CA,USA,93534,34.7332,-118.149
Lansing,MI,USA,48901,42.7327,-84.5558
Las Vegas,NV,USA,89101,36.1736,-115.126
Lawrenceville,GA,USA,30042,33.9563,-83.9881
League City,TX,USA,77573,29.5116,-95.0871
Long Beach,CA,USA,90801,33.7668,-118.189
Los Angeles,CA,USA,90001,33.9736,-118.248
Mckinney,TX,USA,75069,33.1809,-96.5943
Memphis,TN,USA,37501,35.1496,-90.0487
Minneapolis,MN,USA,55401,44.9848,-93.2697
Mission,TX,USA,78572,26.2982,-98.4212
Moreno Valley,CA,USA,92551,33.8809,-117.225
Myrtle Beach,SC,USA,29572,33.7654,-78.7957
Naples,FL,USA,34101,26.1418,-81.795
Nashville,TN,USA,37201,36.166,-86.7732
New Brunswick,NJ,USA,08901,40.4878,-74.4411
New York,NY,USA,10001,40.7508,-73.9961
Norwalk,CA,USA,90650,33.9072,-118.076
Oklahoma City,OK,USA,73101,35.4678,-97.5164
Olathe,KS,USA,66051,38.8815,-94.8187
Orlando,FL,USA,32801,28.5446,-81.3745
Oxnard,CA,USA,93030,34.2091,-119.183
Pacoima,CA,USA,91331,34.2567,-118.419
Palmdale,CA,USA,93550,34.4836,-118.06
Pearland,TX,USA,77581,29.5514,-95.2835
Pharr,TX,USA,78577,26.1524,-98.2097
Philadelphia,PA,USA,19019,39.9525,-75.1644
Phoenix,AZ,USA,85001,33.4486,-112.073
Pittsburgh,PA,USA,15201,40.4739,-79.9559
Porterville,CA,USA,93257,35.9944,-118.877
Reseda,CA,USA,91335,34.2007,-118.54
Rialto,CA,USA,92376,34.1031,-117.387
Richmond,VA,USA,23173,37.5755,-77.5422
Riverside,CA,USA,92501,33.9943,-117.378
Riverside,CA,USA,92501,33.9943,-117.378
Sacramento,CA,USA,94203,38.5819,-121.493
San Antonio,TX,USA,78201,29.4728,-98.5356
San Diego,CA,USA,92101,32.7199,-117.181
San Francisco,CA,USA,94102,37.7794,-122.418
Santa Ana,CA,USA,92701,33.7468,-117.855
Savannah,GA,USA,31401,32.0758,-81.0756
Seattle,WA,USA,98101,47.611,-122.334
Simi Valley,CA,USA,93062,34.2707,-118.79
South Gate,CA,USA,90280,33.9385,-118.19
Sugar Land,TX,USA,77478,29.6302,-95.6323
Sylmar,CA,USA,91342,34.3502,-118.303
Tampa,FL,USA,33601,27.9475,-82.4588
Tucson,AZ,USA,85701,32.2179,-110.969
Virginia Beach,VA,USA,23450,36.8598,-75.9812
Washington,DC,USA,20001,38.9107,-77.0167
Watsonville,CA,USA,95076,36.9428,-121.724
Westminster,CA,USA,92683,33.7491,-117.994
Williamsburg,VA,USA,23185,37.234,-76.7365
Woodbridge,VA,USA,22191,38.6233,-77.2636
Woodside,NY,USA,11377,40.748,-73.9064
Yuma,AZ,USA,85364,32.7074,-114.68
